# Tile extents derived from LDD weakly connected components
# Source LDD: misc/ldd_aqueduct_version_2021-09-16/lddsound_05min_version_20210330.map
# Codes assigned in descending cell-count order (M01 = largest)
code,xmin,ymin,xmax,ymax
M01,-12.0000000000,4.0000000000,17.0000000000,37.5000000000
M02,31.0000000000,7.5000000000,60.0000000000,42.5000000000
M03,-10.5000000000,44.5000000000,38.0000000000,69.5000000000
M04,-113.5000000000,51.5000000000,-70.0000000000,83.0000000000
M05,10.5000000000,55.5000000000,59.0000000000,81.0000000000
M06,90.5000000000,18.0000000000,142.5000000000,46.0000000000
M07,-107.0000000000,1.0000000000,-51.0000000000,26.0000000000
M08,-42.0000000000,63.0000000000,-11.5000000000,84.0000000000
M09,97.0000000000,32.0000000000,123.0000000000,53.0000000000
M10,108.5000000000,41.5000000000,151.0000000000,56.5000000000
M11,11.5000000000,-12.5000000000,34.0000000000,9.5000000000
M12,44.5000000000,61.0000000000,86.5000000000,82.0000000000
M13,93.5000000000,-11.0000000000,128.5000000000,34.0000000000
M14,11.5000000000,-35.0000000000,30.5000000000,-1.5000000000
M15,-107.0000000000,17.5000000000,-64.5000000000,48.0000000000
M16,122.0000000000,-36.5000000000,147.0000000000,-13.5000000000
M17,-55.5000000000,-25.0000000000,-34.5000000000,3.5000000000
M18,-81.5000000000,-15.5000000000,-58.5000000000,6.0000000000
M19,112.0000000000,-22.0000000000,154.5000000000,35.0000000000
M20,12.0000000000,13.0000000000,32.5000000000,33.0000000000
M21,-12.0000000000,14.5000000000,8.5000000000,52.5000000000
M22,48.0000000000,22.5000000000,75.5000000000,43.0000000000
M23,73.0000000000,7.5000000000,102.5000000000,43.0000000000
M24,32.0000000000,39.5000000000,60.5000000000,62.0000000000
M25,104.0000000000,52.0000000000,141.5000000000,65.5000000000
M26,-125.0000000000,29.5000000000,-105.5000000000,53.0000000000
M27,-76.0000000000,-56.0000000000,-46.5000000000,-23.5000000000
M28,-72.5000000000,-20.5000000000,-50.0000000000,3.0000000000
M29,66.0000000000,5.5000000000,83.5000000000,40.0000000000
M30,72.5000000000,33.5000000000,103.5000000000,51.5000000000
M31,144.5000000000,48.5000000000,171.0000000000,71.5000000000
M32,6.5000000000,34.5000000000,36.0000000000,54.0000000000
M33,23.5000000000,-4.0000000000,40.0000000000,31.5000000000
M34,59.0000000000,48.5000000000,93.0000000000,68.5000000000
M35,25.0000000000,-31.5000000000,50.5000000000,0.5000000000
M36,41.0000000000,34.5000000000,61.0000000000,55.5000000000
M37,-67.0000000000,-35.0000000000,-43.5000000000,-14.0000000000
M38,-79.5000000000,61.0000000000,-49.0000000000,83.5000000000
M39,-138.5000000000,59.0000000000,-93.5000000000,79.0000000000
M40,-18.5000000000,4.0000000000,8.5000000000,29.5000000000
M41,112.5000000000,-36.0000000000,154.0000000000,-18.0000000000
M42,-165.0000000000,59.0000000000,-129.0000000000,71.0000000000
M43,-75.5000000000,40.5000000000,-40.5000000000,76.5000000000
M44,99.0000000000,64.0000000000,140.5000000000,79.5000000000
M45,87.5000000000,46.0000000000,115.0000000000,60.5000000000
M46,84.0000000000,57.5000000000,112.5000000000,72.0000000000
M47,-180.0000000000,47.5000000000,-118.0000000000,72.0000000000
M48,59.0000000000,46.5000000000,87.5000000000,62.0000000000
M49,-140.0000000000,51.0000000000,-115.0000000000,69.0000000000
M50,-55.0000000000,59.5000000000,-31.5000000000,73.5000000000
M51,-117.5000000000,44.5000000000,-87.0000000000,59.0000000000
M52,73.0000000000,16.0000000000,98.0000000000,31.5000000000
M53,81.5000000000,65.5000000000,110.0000000000,81.5000000000
M54,-112.0000000000,47.0000000000,-67.5000000000,62.5000000000
M55,-116.0000000000,22.0000000000,-90.5000000000,38.5000000000
M56,55.5000000000,39.0000000000,78.5000000000,56.0000000000
M57,-93.5000000000,33.0000000000,-70.0000000000,51.0000000000
M58,-114.0000000000,37.0000000000,-90.5000000000,50.0000000000
M59,103.0000000000,60.5000000000,130.5000000000,73.0000000000
M60,138.5000000000,-47.5000000000,179.0000000000,-24.5000000000
M61,-128.0000000000,52.0000000000,-102.5000000000,66.0000000000
M62,-78.5000000000,-40.5000000000,-61.5000000000,-9.5000000000
M63,7.0000000000,-5.0000000000,24.5000000000,16.0000000000
M64,18.0000000000,-20.5000000000,36.5000000000,-7.0000000000
M65,133.5000000000,55.5000000000,153.0000000000,76.5000000000
M66,33.0000000000,-1.0000000000,54.5000000000,13.0000000000
M67,-58.5000000000,71.0000000000,-31.0000000000,83.5000000000
M68,165.0000000000,59.5000000000,180.0000000000,72.0000000000
M69,154.5000000000,-11.0000000000,162.5000000000,-5.0000000000
M70,163.5000000000,-23.0000000000,168.5000000000,-20.0000000000
M71,177.0000000000,-19.5000000000,180.0000000000,-16.0000000000
