Code	Cells	%tot	xmin	ymin	xmax	ymax	BboxCells	Fill%
M01	65135	2.9	-11.583	4.250	16.750	37.417	135320	48.1
M02	63456	2.8	31.167	7.917	59.917	42.083	141450	44.9
M03	59962	2.7	-10.500	44.583	37.750	69.417	172542	34.8
M04	57140	2.5	-113.250	51.833	-70.000	83.000	194106	29.4
M05	43850	1.9	10.500	55.500	58.583	80.750	174831	25.1
M06	43802	1.9	90.583	18.167	142.083	45.917	205794	21.3
M07	43450	1.9	-106.667	1.167	-51.000	25.583	195724	22.2
M08	39992	1.8	-41.583	63.333	-11.500	83.667	88084	45.4
M09	39730	1.8	97.333	32.167	122.667	52.750	75088	52.9
M10	39657	1.8	108.833	41.750	150.583	56.083	86172	46.0
M11	39602	1.8	11.833	-12.167	34.000	9.250	68362	57.9
M12	39311	1.7	44.917	61.417	86.083	81.917	121524	32.3
M13	39116	1.7	93.917	-10.917	128.250	33.833	221244	17.7
M14	38768	1.7	11.583	-34.917	30.333	-1.833	89325	43.4
M15	38713	1.7	-106.583	17.500	-64.667	47.750	182589	21.2
M16	38210	1.7	122.083	-36.083	146.750	-13.667	79624	48.0
M17	38048	1.7	-55.417	-24.583	-34.667	3.167	82917	45.9
M18	37999	1.7	-81.417	-15.500	-58.833	6.000	69918	54.3
M19	37953	1.7	112.000	-21.833	154.167	34.917	344586	11.0
M20	37945	1.7	12.250	13.083	32.250	33.000	57360	66.2
M21	37825	1.7	-11.583	14.750	8.500	52.083	107968	35.0
M22	37402	1.7	48.167	22.833	75.167	42.833	77760	48.1
M23	36856	1.6	73.250	7.500	102.500	42.667	148122	24.9
M24	36786	1.6	32.000	39.917	60.417	61.750	89342	41.2
M25	36556	1.6	104.000	52.000	141.500	65.250	71550	51.1
M26	35533	1.6	-124.583	29.500	-105.667	52.917	63787	55.7
M27	35234	1.6	-75.667	-56.000	-46.833	-23.750	133902	26.3
M28	35121	1.6	-72.417	-20.500	-50.333	2.583	73405	47.8
M29	35037	1.5	66.167	5.917	83.167	39.833	83028	42.2
M30	34982	1.5	72.500	33.917	103.250	51.083	76014	46.0
M31	34885	1.5	144.500	48.833	170.750	71.333	85050	41.0
M32	34561	1.5	6.667	34.833	35.583	53.833	79116	43.7
M33	34560	1.5	23.500	-4.000	39.833	31.500	83496	41.4
M34	34527	1.5	59.167	48.833	92.667	68.083	92862	37.2
M35	33467	1.5	25.167	-31.500	50.500	0.500	116736	28.7
M36	33323	1.5	41.167	34.917	60.667	55.250	57096	58.4
M37	32917	1.5	-66.917	-34.583	-43.583	-14.167	68600	48.0
M38	32610	1.4	-79.250	61.333	-49.083	83.250	95206	34.3
M39	31869	1.4	-138.417	59.083	-93.583	78.833	127506	25.0
M40	31706	1.4	-18.167	4.167	8.167	29.250	95116	33.3
M41	31379	1.4	112.917	-36.000	153.667	-18.000	105624	29.7
M42	30867	1.4	-164.750	59.000	-129.167	70.583	59353	52.0
M43	30077	1.3	-75.500	40.583	-40.500	76.167	179340	16.8
M44	29433	1.3	99.417	64.250	140.417	79.500	90036	32.7
M45	28856	1.3	87.917	46.333	114.917	60.250	54108	53.3
M46	28688	1.3	84.000	57.667	112.417	71.583	56947	50.4
M47	28511	1.3	-180.000	47.750	-118.167	71.583	212212	13.4
M48	27643	1.2	59.000	46.833	87.333	62.000	61880	44.7
M49	27303	1.2	-140.000	51.083	-115.083	68.750	63388	43.1
M50	26292	1.2	-55.000	59.833	-31.750	73.083	44361	59.3
M51	25816	1.1	-117.333	44.583	-87.083	58.833	62073	41.6
M52	25751	1.1	73.417	16.167	97.750	31.417	53436	48.2
M53	25659	1.1	81.750	65.750	109.667	81.333	62645	41.0
M54	24444	1.1	-111.667	47.167	-67.833	62.083	94154	26.0
M55	24320	1.1	-115.583	22.250	-90.833	38.417	57618	42.2
M56	24029	1.1	55.583	39.000	78.333	55.667	54600	44.0
M57	22898	1.0	-93.250	33.083	-70.250	50.750	58512	39.1
M58	22166	1.0	-113.917	37.000	-90.500	49.750	42993	51.6
M59	21926	1.0	103.250	60.833	130.167	72.917	46835	46.8
M60	21718	1.0	138.833	-47.333	178.583	-24.583	130221	16.7
M61	21396	0.9	-127.750	52.167	-102.917	65.750	48574	44.0
M62	20962	0.9	-78.333	-40.333	-61.833	-9.667	72864	28.8
M63	20582	0.9	7.333	-4.583	24.417	16.000	50635	40.6
M64	20492	0.9	18.417	-20.417	36.417	-7.417	33696	60.8
M65	20371	0.9	133.667	55.583	152.833	76.167	56810	35.9
M66	18490	0.8	33.250	-0.917	54.500	12.750	41820	44.2
M67	18406	0.8	-58.250	71.333	-31.083	83.500	47596	38.7
M68	13552	0.6	165.417	59.917	180.000	71.583	24500	55.3
M69	601	0.0	154.500	-10.917	162.333	-5.000	6674	9.0
M70	293	0.0	163.917	-22.750	168.167	-20.000	1683	17.4
M71	285	0.0	177.000	-19.167	180.000	-16.167	1296	22.0
